,Star_name,Distance,Mass,Radius,gravity
170,2MASS J09490860-1545485 [de],59,0.046774812,0.09865248,1317.3847940199864
171,2MASS J10073369-4555147,46,0.042001872,0.09659722,1233.8319202388204
172,2MASSI J1010148-040649 [de],55,0.048683988,0.10070774,1315.7611440515807
173,2MASS J10224821+5825453 [de],60,0.025773876,0.14489583,336.4996146105873
174,2MASSW J1036530-344138 [de],53,0.046774812,0.09968011,1290.3622342106703
175,2MASS J1047538+212423 [de],34.4,0.040092696,0.09659722,1177.7486511370555
176,DEN 1048-3956,13.15,0.073503276,0.10995641,1666.4113007819785
177,Luhman 16B,6.516,0.041047284,0.10481826,1024.064106530048
178,Luhman 16A,6.516,0.03818352,0.10379063,971.5748765477731
179,DENIS-P J1058.7−1548,49,0.061093632,0.102763,1585.765650506213
180,TWA 28,180,0.034365168,0.24560357,156.15853686205512
181,Cha 110913-773444,163,0.007636704,0.1849734,61.179230343603884
182,SDSS J111010.01+011613.1,63,0.008591292,0.12742612,145.03010835226078
183,2MASS J11145133−2618235,18.2,0.031501404,0.09865248,887.2183306665213
184,TWA 26,137,0.02863764,0.2260786,153.58009270140238
185,2MASS J11544223-3400390 [de],129,0.035319756,0.1541445,407.45367408840207
186,2MASSW J1155395-372735 [de],31,0.061093632,0.102763,1585.765650506213
187,2MASS J12074836-3900043,217,0.016227996,0.17572473,144.05081936859645
188,2MASSI J1217110-031113 [de],36,0.040092696,0.09659722,1177.7486511370555
189,2M 1237+6526,45.6,0.039138108,0.09659722,1149.7070165861733
190,TWA 29,262,0.001909176,2.569075,0.07928828252531062
191,SDSSp J125453.90-012247.4 [de],38,0.044865636,0.10070774,1212.5641915769468
192,Kelu-1A,61,0.060139044,0.10070774,1625.352001475482
193,Kelu-1B,61,0.055366104,0.10070774,1496.3558108821899
194,2MASS J13204427+0409045,101,0.063957396,0.10379063,1627.3879182175199
195,SDSSp J132629.82-003831.5 [de],65,0.048683988,0.09968011,1343.0300805049833
196,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659722,1233.8319202388204
197,2MASS J13595510-4034582,51,0.060139044,0.102763,1560.9880622170535
198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248,860.3329267069297
199,SDSS J141659.78+500626.4 [de],149,0.056320692,0.10173537,1491.559748046541
200,DENIS-P J142527.97-365023.4 [de],38,0.020046348,0.13564716,298.6279580305045
201,LHS 2924,38.5,0.072548688,0.10892878,1675.9493680812814
202,2MASS J14392837+1929150,47,0.068730336,0.10584589,1681.5782418884814
203,LSPM J1440+1339,72,0.087822096,0.12228797,1609.7296254520732
204,2MASS J14482563+1031590 [de],47,0.056320692,0.10173537,1491.559748046541
205,CFBDSIR 1458+10A,104,0.010595927,0.1541445,122.23610453374874
206,CFBDSIR 1458+10B,104,0.008591292,0.1335919,131.95165361090895
207,TVLM 513-46546,35.1,0.0715941,0.10790115,1685.550223752352
208,2MASS 1503+2525,20.7,0.042001872,0.09659722,1233.8319202388204
209,CFBDS J150411+102717,71,0.042001872,0.09659722,1233.8319202388204
210,2MASSW J1506544+132106 [de],46,0.065866572,0.10481826,1643.2656593156585
211,2MASS 1507−1627,23.9,0.05727528,0.10173537,1516.8404217422449
212,TVLM 868-110639,53,0.075412452,0.11098404,1678.1802767863567
213,2MASSW J1515008+484742 [de],34,0.054411516,0.10173537,1440.9984006551329
214,2MASSI J1526140+204341 [de],67,0.051547752,0.10070774,1393.1588584075562
215,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763,1560.9880622170535
216,2MASS J15462718-3325111 [de],37,0.042001872,0.09659722,1233.8319202388204
217,2MASSW J1552591+294849 [de],68,0.02863764,0.14695109,363.50317799148473
218,2MASSW J1555157-095605 [de],44,0.067775748,0.10584589,1658.2229885289191
219,2MASS J16150413+1340079 [de],48,0.040092696,0.09659722,1177.7486511370555
220,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.09659722,1205.7902856879382
221,2MASS J16262034+3925190 [de],110,0.067775748,0.10584589,1658.2229885289191
222,2MASSW J1632291+190441 [de],50,0.046774812,0.09968011,1290.3622342106703
223,WISEPA J164715.59+563208.2,28,0.039138108,0.09659722,1149.7070165861733
224,LSPM J1658+7027 [de],60,0.069684924,0.10687352,1672.3039433327008
225,2MASSI J1726000+153819,114,0.022910112,0.1438682,303.3990402754234
226,SDSSp J175032.96+175903.9,90,0.044865636,0.09968011,1237.694387916357
227,2MASS J18283572-4849046,39,0.04295646,0.09762485,1235.4476155259624
228,LSR J1835+3259,18.5,0.073503276,0.10995641,1666.4113007819785
229,2MASSW J1841086+311727,138,0.063957396,0.10379063,1627.3879182175199
230,2MASS J18432213+4040209,46,0.091640448,0.12537086,1598.1244798167959
231,2MASS J20004841-7523070,105,0.0238647,0.19319444,175.26021594301426
232,SDSS J204749.61-071818.3,65,0.043911048,0.09865248,1236.7285821412115
233,2MASSI J2057540-025230,47,0.06682116,0.10481826,1667.0811036535667
234,2MASSI J2104149-103736,62,0.065866572,0.10481826,1643.2656593156585
235,PSO J318.5−22,80,0.006204822,0.15722739,68.80017253173449
236,HB 2124-4228,113,0.089731272,0.12434323,1590.8020621412472
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,1236.7285821412115
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,1390.4370532637245
239,2MASSW J2206450-421721,93,0.021000936,0.13667479,308.16153675250763
240,2MASSW J2208136+292121,154,0.025773876,0.14489583,336.4996146105873
241,2MASSW J2224438-015852,38,0.058229868,0.10173537,1542.121095437949
242,2MASS J22282889-4310262,35,0.040092696,0.09659722,1177.7486511370555
243,2MASS J22373255+3922398,64,0.069684924,0.10687352,1672.3039433327008
244,2MASSW J2244316+204343,56,0.011455056,0.13256427,178.67379332366733
245,2MASS J23224684-3133231,56,0.022910112,0.14284057,307.7801971636198
246,2MASS J23225299-6151275,148,0.016227996,0.16339317,166.61484945837302
247,2MASS J23515044-2537367,67,0.084003744,0.11920508,1620.4130272339796
248,2MASSI J2356547-155310,74,0.07636704,0.11201167,1668.3840275505147
249,WISE 0410+1502,20,0.005727528,0.12023271,108.60218404190039
250,WISE 0458+6434A,35.9,0.01431882,0.4316046,21.069377796904398
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,17.15899466008281
252,WISE 1405+5534,25.3,0.02863764,0.08837618,2.445640446018866e-10
